,created_day,count_requests
0,2016-01-01,1
1,2016-01-02,2
2,2016-01-03,5
3,2016-01-04,20
4,2016-01-05,14
5,2016-01-06,16
6,2016-01-07,16
7,2016-01-08,30
8,2016-01-09,7
9,2016-01-10,9
10,2016-01-11,23
11,2016-01-12,10
12,2016-01-13,10
13,2016-01-14,20
14,2016-01-15,14
15,2016-01-16,13
16,2016-01-17,12
17,2016-01-18,21
18,2016-01-19,20
19,2016-01-20,24
20,2016-01-21,19
21,2016-01-22,13
22,2016-01-23,12
23,2016-01-24,10
24,2016-01-25,17
25,2016-01-26,21
26,2016-01-27,28
27,2016-01-28,15
28,2016-01-29,8
29,2016-01-30,14
30,2016-01-31,7
31,2016-02-01,13
32,2016-02-02,15
33,2016-02-03,21
34,2016-02-04,12
35,2016-02-05,12
36,2016-02-06,5
37,2016-02-07,5
38,2016-02-08,19
39,2016-02-09,23
40,2016-02-10,11
41,2016-02-11,23
42,2016-02-12,10
43,2016-02-13,8
44,2016-02-14,7
45,2016-02-15,8
46,2016-02-16,23
47,2016-02-17,21
48,2016-02-18,12
49,2016-02-19,28
50,2016-02-20,7
51,2016-02-21,9
52,2016-02-22,30
53,2016-02-23,26
54,2016-02-24,15
55,2016-02-25,17
56,2016-02-26,19
57,2016-02-27,8
58,2016-02-28,11
59,2016-02-29,25
60,2016-03-01,19
61,2016-03-02,20
62,2016-03-03,17
63,2016-03-04,31
64,2016-03-05,13
65,2016-03-06,12
66,2016-03-07,31
67,2016-03-08,41
68,2016-03-09,22
69,2016-03-10,27
70,2016-03-11,20
71,2016-03-12,9
72,2016-03-13,14
73,2016-03-14,21
74,2016-03-15,28
75,2016-03-16,28
76,2016-03-17,31
77,2016-03-18,27
78,2016-03-19,20
79,2016-03-20,15
80,2016-03-21,27
81,2016-03-22,30
82,2016-03-23,24
83,2016-03-24,27
84,2016-03-25,27
85,2016-03-26,19
86,2016-03-27,13
87,2016-03-28,26
88,2016-03-29,42
89,2016-03-30,45
90,2016-03-31,36
91,2016-04-01,38
92,2016-04-02,16
93,2016-04-03,18
94,2016-04-04,41
95,2016-04-05,60
96,2016-04-06,52
97,2016-04-07,39
98,2016-04-08,22
99,2016-04-09,22
100,2016-04-10,31
101,2016-04-11,24
102,2016-04-12,58
103,2016-04-13,37
104,2016-04-14,61
105,2016-04-15,31
106,2016-04-16,14
107,2016-04-17,29
108,2016-04-18,48
109,2016-04-19,37
110,2016-04-20,30
111,2016-04-21,26
112,2016-04-22,37
113,2016-04-23,7
114,2016-04-24,14
115,2016-04-25,41
116,2016-04-26,47
117,2016-04-27,61
118,2016-04-28,41
